archivo,problema,gamma,semilla,min_fr,max_bl,tlimite,relleno_pct,vol_cargado,vol_contenedor,w_final,segundos
BR1.txt,1,1.00,1,100,10000,90.0,95.1597,28633180,30089620,421,90.01
BR1.txt,2,1.00,1,100,10000,90.0,97.6025,29368208,30089620,210,90.01
BR1.txt,3,1.00,1,100,10000,90.0,92.6656,27882729,30089620,596,90.01
BR1.txt,4,1.00,1,100,10000,90.0,93.5782,28157319,30089620,297,90.01
BR1.txt,5,1.00,1,100,10000,90.0,95.2329,28655223,30089620,297,90.01
BR1.txt,6,1.00,1,100,10000,90.0,96.1271,28924290,30089620,297,90.02
BR1.txt,7,1.00,1,100,10000,90.0,96.3597,28994266,30089620,421,90.01
BR1.txt,8,1.00,1,100,10000,90.0,97.7123,29401250,30089620,210,90.00
BR1.txt,9,1.00,1,100,10000,90.0,93.8683,28244616,30089620,596,90.02
BR1.txt,10,1.00,1,100,10000,90.0,95.7814,28820256,30089620,421,90.02
BR7.txt,1,1.00,1,100,10000,90.0,95.8138,28830014,30089620,104,90.00
BR7.txt,2,1.00,1,100,10000,90.0,95.9286,28864556,30089620,104,90.00
BR7.txt,3,1.00,1,100,10000,90.0,95.9104,28859081,30089620,104,90.00
BR7.txt,4,1.00,1,100,10000,90.0,96.0827,28910909,30089620,104,90.00
BR7.txt,5,1.00,1,100,10000,90.0,95.5478,28749978,30089620,104,90.00
BR7.txt,6,1.00,1,100,10000,90.0,95.9770,28879122,30089620,104,90.00
BR7.txt,7,1.00,1,100,10000,90.0,96.0641,28905327,30089620,148,90.00
BR7.txt,8,1.00,1,100,10000,90.0,95.4671,28725699,30089620,148,90.00
BR7.txt,9,1.00,1,100,10000,90.0,95.5213,28742008,30089620,104,90.00
BR7.txt,10,1.00,1,100,10000,90.0,96.1925,28943968,30089620,104,90.00
BR11.txt,1,1.00,1,98,10000,90.0,95.4923,28733283,30089620,73,90.00
BR11.txt,2,1.00,1,98,10000,90.0,95.2230,28652248,30089620,73,90.00
BR11.txt,3,1.00,1,98,10000,90.0,94.1252,28321920,30089620,73,90.00
BR11.txt,4,1.00,1,98,10000,90.0,94.6508,28480057,30089620,73,90.00
BR11.txt,5,1.00,1,98,10000,90.0,94.8923,28552736,30089620,73,90.00
BR11.txt,6,1.00,1,98,10000,90.0,94.7953,28523549,30089620,51,90.00
BR11.txt,7,1.00,1,98,10000,90.0,94.6335,28474858,30089620,73,90.00
BR11.txt,8,1.00,1,98,10000,90.0,94.7433,28507894,30089620,73,90.00
BR11.txt,9,1.00,1,98,10000,90.0,94.7513,28510295,30089620,104,90.00
BR11.txt,10,1.00,1,98,10000,90.0,94.6845,28490195,30089620,73,90.00
BR15.txt,1,1.00,1,98,10000,90.0,94.7061,28496719,30089620,51,90.00
BR15.txt,2,1.00,1,98,10000,90.0,94.2464,28358396,30089620,36,90.00
BR15.txt,3,1.00,1,98,10000,90.0,93.9090,28256859,30089620,36,90.00
BR15.txt,4,1.00,1,98,10000,90.0,94.2177,28349751,30089620,36,90.00
BR15.txt,5,1.00,1,98,10000,90.0,94.0782,28307787,30089620,51,90.00
BR15.txt,6,1.00,1,98,10000,90.0,94.1577,28331685,30089620,36,90.00
BR15.txt,7,1.00,1,98,10000,90.0,94.2845,28369857,30089620,36,90.00
BR15.txt,8,1.00,1,98,10000,90.0,93.8387,28235696,30089620,36,90.00
BR15.txt,9,1.00,1,98,10000,90.0,94.6520,28480439,30089620,36,90.00
BR15.txt,10,1.00,1,98,10000,90.0,94.6286,28473401,30089620,36,90.00
